EventID,RecordID,EventDateTime,UserRole,ActionType,DeviceType,ProcessingTimeMinutes,RequirementID
E001,R001,2026-07-15 09:15,Student,SubmitReport,Mobile,4,FR-03
E002,R001,2026-07-15 09:20,Admin,AdminReview,Laptop,8,FR-09
E003,R001,2026-07-16 10:10,Admin,UpdateStatus,Laptop,5,FR-08
E004,R002,2026-07-15 12:25,Student,SubmitReport,Mobile,6,FR-03
E005,R002,2026-07-16 13:20,Student,SearchRecord,Mobile,2,FR-06
E006,R002,2026-07-18 15:00,Admin,UpdateStatus,Laptop,7,FR-09
E007,R003,2026-07-16 08:45,Staff,SubmitReport,Desktop,5,FR-03
E008,R003,2026-07-16 09:10,Student,ViewDetail,Mobile,2,FR-07
E009,R004,2026-07-16 14:05,Student,SubmitReport,Laptop,4,FR-03
E010,R004,2026-07-20 16:05,Admin,UpdateStatus,Laptop,10,FR-08
E011,R005,2026-07-17 11:30,Student,SearchRecord,Mobile,2,FR-06
E012,R005,2026-07-17 11:45,Student,ViewDetail,Mobile,3,FR-07
E013,R006,2026-07-17 10:00,Staff,SubmitReport,Desktop,6,FR-03
E014,R006,2026-07-18 10:25,Admin,AdminReview,Laptop,9,FR-09
E015,R006,2026-07-20 14:30,Admin,UpdateStatus,Laptop,8,FR-08
E016,R007,2026-07-18 13:00,Student,SubmitReport,Mobile,3,FR-03
E017,R007,2026-07-20 09:00,Admin,UpdateStatus,Laptop,4,FR-08
E018,R008,2026-07-18 17:15,Student,SubmitReport,Mobile,4,FR-03
E019,R008,2026-07-19 09:25,Student,SearchRecord,Mobile,2,FR-06
E020,R009,2026-07-19 12:50,Student,SubmitReport,Laptop,5,FR-03
E021,R009,2026-07-20 12:10,Student,SearchRecord,Mobile,2,FR-06
E022,R009,2026-07-21 10:00,Admin,UpdateStatus,Laptop,7,FR-08
E023,R010,2026-07-19 16:10,Student,SubmitReport,Mobile,6,FR-03
E024,R010,2026-07-22 15:40,Student,ViewDashboard,Laptop,2,FR-12
E025,R011,2026-07-20 09:30,Staff,SubmitReport,Desktop,4,FR-03
E026,R011,2026-07-23 13:15,Admin,UpdateStatus,Laptop,6,FR-08
E027,R012,2026-07-20 18:10,Student,SubmitReport,Mobile,5,FR-03
E028,R012,2026-07-23 10:10,Student,SearchRecord,Mobile,2,FR-06
E029,R013,2026-07-21 08:20,Staff,SubmitReport,Desktop,4,FR-03
E030,R013,2026-07-22 11:00,Admin,UpdateStatus,Laptop,5,FR-08
E031,R014,2026-07-21 15:15,Student,SubmitReport,Mobile,7,FR-03
E032,R014,2026-07-24 09:15,Student,SearchRecord,Mobile,2,FR-06
E033,R015,2026-07-22 11:25,Student,SubmitReport,Laptop,3,FR-03
E034,R015,2026-07-24 10:00,Admin,UpdateStatus,Laptop,5,FR-08
E035,R005,2026-07-24 13:10,Student,ViewDashboard,Mobile,2,FR-12
E036,R014,2026-07-24 14:25,Admin,ViewDashboard,Laptop,2,FR-12
