date,channel,landing_page_views,cta_clicks,demo_attempts,feedback_responses,signups_or_testers,notes
2026-07-20,Class chat (LINE/Discord),28,12,8,5,4,Initial campaign launch in ICT undergraduate LINE student group
2026-07-21,Campus QR poster,18,7,4,2,2,Main Library foyer poster placement near entrance bulletin
2026-07-21,Class chat (LINE/Discord),35,15,10,6,5,Secondary promotion in Computer Engineering Discord server
2026-07-22,Social Media (Facebook/IG),45,19,12,7,6,Student Association Facebook Page post with live demo link
2026-07-22,Campus QR poster,24,9,5,3,3,Student Union cafeteria table tent QR code distribution
2026-07-23,Student / Staff Email,22,11,8,6,4,Outreach email sent to campus security staff and club leaders
2026-07-23,Social Media (Facebook/IG),38,14,9,5,4,Instagram story update featuring item search and report walkthrough
2026-07-24,Campus QR poster,31,13,8,4,4,Science Building and Engineering Lab bulletin QR poster scans
2026-07-24,Class chat (LINE/Discord),29,10,7,4,3,Follow-up demo invitation shared in student class channels
2026-07-25,Social Media (Facebook/IG),52,22,15,9,7,Weekend highlight post demonstrating automated status tracking
2026-07-25,Student / Staff Email,16,8,6,4,3,Staff validation follow-up for administrative status updates
2026-07-26,Campus QR poster,27,11,7,4,3,Weekly scan review across all four campus QR poster locations
